Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
80 plus,Population,DEU,Male,1/1/2014,2M,,1622081.54386389
10 to 14,Population,BIH,Male,1/1/2013,0M,,101934.907694836
20 to 24,Population,BOL,Male,1/1/2013,1M,,517708.156710169
10 to 14,Population,EST,Female,1/1/2011,0M,29160.608889902,
5 to 9,Population,NAM,Female,1/1/2016,0M,139254.925368597,
70 to 74,Population,UGA,Male,1/1/2014,0M,,103381.80958616
25 to 29,Population,ARE,Male,1/1/2015,1M,,962433.56501743
45 to 49,Population,NER,Female,1/1/2013,0M,274116.568725539,
70 to 74,Population,TON,Female,1/1/2016,0M,935.727970615,
80 plus,Population,COD,Male,1/1/2013,0M,,92364.380911093
25 to 29,Population,VUT,Male,1/1/2016,0M,,11021.070829795
40 to 44,Population,HUN,Female,1/1/2015,0M,383090.859141783,
25 to 29,Population,DOM,Female,1/1/2009,0M,396585.665105323,
30 to 34,Population,GNB,Female,1/1/2016,0M,69381.922441151,
40 to 44,Population,DNK,Female,1/1/2014,0M,192855.92905138,
25 to 29,Population,PAK,Male,1/1/2010,7M,,7387112.19809952
55 to 59,Population,GRL,Female,1/1/2017,0M,1855.994477292,
5 to 9,Population,AGO,Male,1/1/2011,2M,,1759302.1815685
70 to 74,Population,SUR,Male,1/1/2015,0M,,4995.734795776
40 to 44,Population,TGO,Female,1/1/2017,0M,199599.653462239,
10 to 14,Population,COM,Male,1/1/2008,0M,,36435.769128356
65 to 69,Population,BEN,Female,1/1/2012,0M,53507.324923943,
25 to 29,Population,AZE,Female,1/1/2015,1M,501615.740706559,
75 to 79,Population,ARM,Male,1/1/2017,0M,,30025.140116938
40 to 44,Population,LBY,Male,1/1/2012,0M,,237912.442530693
15 to 19,Population,MLT,Female,1/1/2015,0M,11544.227751043,
25 to 29,Population,NAM,Female,1/1/2010,0M,92054.235735262,
20 to 24,Population,MWI,Female,1/1/2008,1M,674008.231632833,
5 to 9,Population,VUT,Male,1/1/2010,0M,,16656.233089590
50 to 54,Population,ZAF,Male,1/1/2011,1M,,1010432.7263782
10 to 14,Population,SOM,Male,1/1/2012,1M,,968994.835869857
40 to 44,Population,CRI,Female,1/1/2017,0M,151462.000816846,
60 to 64,Population,SRB,Female,1/1/2011,0M,278974.403939558,
25 to 29,Population,COM,Female,1/1/2011,0M,26131.514043570,
50 to 54,Population,ECU,Male,1/1/2015,0M,,362731.839334129
45 to 49,Population,ASM,Female,1/1/2009,0M,1665.479844773,
60 to 64,Population,JPN,Female,1/1/2016,4M,4167681.11621051,
35 to 39,Population,BIH,Male,1/1/2009,0M,,131718.445768
75 to 79,Population,WSM,Female,1/1/2016,0M,1091.268968976,
70 to 74,Population,NIC,Male,1/1/2012,0M,,33210.315014663
80 plus,Population,PRY,Female,1/1/2008,0M,41398.747124109,
10 to 14,Population,NPL,Female,1/1/2014,2M,1682783.77268969,
40 to 44,Population,MLI,Male,1/1/2017,0M,,375866.56460771
5 to 9,Population,LAO,Female,1/1/2010,0M,373736.229394777,
20 to 24,Population,NLD,Male,1/1/2016,1M,,539762.722916225
50 to 54,Population,MDV,Female,1/1/2015,0M,7949.394800988,
10 to 14,Population,PHL,Male,1/1/2009,5M,,5423359.69046793
55 to 59,Population,KIR,Female,1/1/2017,0M,2124.748949107,
30 to 34,Population,SVN,Female,1/1/2015,0M,71261.370670258,
70 to 74,Population,FRA,Male,1/1/2010,1M,,1095948.73945019
30 to 34,Population,TUN,Male,1/1/2015,0M,,470787.328864859
75 to 79,Population,AND,Male,1/1/2014,0M,,775.412805737
70 to 74,Population,SDN,Female,1/1/2016,0M,148857.788803069,
40 to 44,Population,ETH,Male,1/1/2014,2M,,1903716.35085679
75 to 79,Population,SAU,Male,1/1/2017,0M,,65610.239459411
35 to 39,Population,BGR,Female,1/1/2008,0M,270444.612795078,
75 to 79,Population,SGP,Female,1/1/2016,0M,50693.084957602,
10 to 14,Population,DMA,Female,1/1/2010,0M,3136.967992194,
50 to 54,Population,ERI,Female,1/1/2016,0M,86067.496251980,
10 to 14,Population,MDA,Female,1/1/2015,0M,98073.686073904,
20 to 24,Population,USA,Female,1/1/2012,11M,10995905.5083557,
60 to 64,Population,COD,Male,1/1/2009,0M,,411209.96719787
25 to 29,Population,BLR,Male,1/1/2013,0M,,406651.928509644
15 to 19,Population,MWI,Male,1/1/2011,1M,,749525.949849404
5 to 9,Population,DEU,Male,1/1/2017,2M,,1902933.0866448
5 to 9,Population,GTM,Male,1/1/2016,1M,,922015.185942729
55 to 59,Population,TUR,Male,1/1/2016,2M,,1861886.64908028
55 to 59,Population,LBR,Female,1/1/2017,0M,41679.940223504,
15 to 19,Population,DJI,Male,1/1/2011,0M,,49553.503102651
45 to 49,Population,FSM,Female,1/1/2011,0M,2622.020746592,
10 to 14,Population,IDN,Male,1/1/2017,12M,,12446231.3482551
65 to 69,Population,ZAF,Female,1/1/2008,1M,554116.027525589,
80 plus,Population,NOR,Female,1/1/2012,0M,141388.772497909,
10 to 14,Population,ISL,Male,1/1/2014,0M,,10652.048999152
45 to 49,Population,DEU,Male,1/1/2014,4M,,3504857.89410243
15 to 19,Population,TTO,Male,1/1/2011,0M,,51076.428719938
5 to 9,Population,PAK,Male,1/1/2016,13M,,13434094.6509992
60 to 64,Population,ARG,Female,1/1/2015,1M,947799.398450007,
70 to 74,Population,FSM,Male,1/1/2008,0M,,381.801188717
65 to 69,Population,GHA,Female,1/1/2014,0M,206222.254437502,
60 to 64,Population,NER,Female,1/1/2009,0M,108060.687493911,
55 to 59,Population,SRB,Male,1/1/2008,0M,,304701.57331131
25 to 29,Population,EST,Male,1/1/2008,0M,,48170.793991453
80 plus,Population,GIN,Male,1/1/2011,0M,,33779.188575668
70 to 74,Population,PRY,Male,1/1/2011,0M,,40787.267107396
25 to 29,Population,ALB,Male,1/1/2008,0M,,93454.347192999
10 to 14,Population,ALB,Female,1/1/2011,0M,116459.688200012,
20 to 24,Population,BEL,Male,1/1/2012,0M,,345868.516167949
35 to 39,Population,EGY,Female,1/1/2008,2M,2380724.39016783,
50 to 54,Population,BRB,Female,1/1/2016,0M,11564.586136425,
60 to 64,Population,AFG,Female,1/1/2010,0M,171381.25179591,
55 to 59,Population,LVA,Male,1/1/2012,0M,,59078.219578529
10 to 14,Population,VIR,Male,1/1/2015,0M,,3719.581481752
20 to 24,Population,CHE,Male,1/1/2010,0M,,253877.605768964
45 to 49,Population,NOR,Female,1/1/2012,0M,169971.964772694,
35 to 39,Population,DZA,Male,1/1/2016,2M,,1558314.01460277
5 to 9,Population,MDG,Male,1/1/2015,2M,,1794834.21285754
80 plus,Population,NER,Female,1/1/2013,0M,23609.700511869,
50 to 54,Population,KWT,Female,1/1/2013,0M,59793.854348731,
10 to 14,Population,SWZ,Male,1/1/2011,0M,,67463.147012103
70 to 74,Population,JAM,Male,1/1/2017,0M,,28568.918444231
25 to 29,Population,SWZ,Female,1/1/2008,0M,49128.050027527,
50 to 54,Population,ZMB,Female,1/1/2017,0M,199270.688860338,
20 to 24,Population,TTO,Female,1/1/2008,0M,65045.212692736,
25 to 29,Population,GTM,Male,1/1/2010,1M,,558254.054694302
70 to 74,Population,GIN,Female,1/1/2008,0M,52985.298318749,
80 plus,Population,MAR,Male,1/1/2016,0M,,211606.288516045
15 to 19,Population,GMB,Male,1/1/2015,0M,,109830.591958537
25 to 29,Population,LAO,Female,1/1/2016,0M,315132.310520195,
35 to 39,Population,HND,Female,1/1/2008,0M,214465.20176759,
80 plus,Population,FSM,Female,1/1/2011,0M,396.062064527,
75 to 79,Population,KWT,Female,1/1/2009,0M,7843.384131481,
45 to 49,Population,COD,Male,1/1/2013,1M,,1289709.35340241
55 to 59,Population,SLE,Male,1/1/2015,0M,,76833.920353596
35 to 39,Population,PHL,Male,1/1/2013,3M,,3266035.56121696
45 to 49,Population,PRY,Female,1/1/2008,0M,141077.815817758,
20 to 24,Population,DJI,Female,1/1/2008,0M,42367.983509565,
25 to 29,Population,BRA,Female,1/1/2017,9M,8715050.29719237,
80 plus,Population,ASM,Female,1/1/2009,0M,197.435507385,
65 to 69,Population,PAN,Female,1/1/2017,0M,55819.393931474,
45 to 49,Population,GIN,Male,1/1/2011,0M,,158423.222678415
30 to 34,Population,GBR,Female,1/1/2008,4M,4002343.59468698,
20 to 24,Population,MYS,Male,1/1/2009,1M,,1450833.35138312
65 to 69,Population,TJK,Male,1/1/2012,0M,,35290.376111976
30 to 34,Population,MKD,Female,1/1/2008,0M,77059.477414377,
75 to 79,Population,OMN,Female,1/1/2017,0M,10815.764029691,
50 to 54,Population,KAZ,Male,1/1/2008,0M,,393567.748651802
Under 5,Population,GUY,Male,1/1/2017,0M,,37155.247155952
15 to 19,Population,BRB,Male,1/1/2009,0M,,9836.588304791
55 to 59,Population,DZA,Female,1/1/2013,1M,651345.875896548,
20 to 24,Population,HUN,Male,1/1/2011,0M,,316045.030180597
65 to 69,Population,MYS,Female,1/1/2016,0M,374228.950260536,
65 to 69,Population,CIV,Male,1/1/2017,0M,,141077.344148391
70 to 74,Population,SWZ,Female,1/1/2015,0M,7376.705387799,
Under 5,Population,DNK,Male,1/1/2009,0M,,167000.322038774
30 to 34,Population,SGP,Male,1/1/2009,0M,,249961.892775417
65 to 69,Population,NLD,Female,1/1/2009,0M,379973.927310796,
60 to 64,Population,TWN,Female,1/1/2017,1M,816970.701311688,
50 to 54,Population,CMR,Female,1/1/2008,0M,256433.644438421,
50 to 54,Population,MNE,Female,1/1/2014,0M,22109.755786798,
25 to 29,Population,JPN,Male,1/1/2009,4M,,3884519.35780594
15 to 19,Population,YEM,Male,1/1/2013,1M,,1399448.81835084
50 to 54,Population,COG,Female,1/1/2017,0M,81852.314211884,
45 to 49,Population,COM,Male,1/1/2015,0M,,16102.904114999
30 to 34,Population,LSO,Female,1/1/2008,0M,66653.165682072,
35 to 39,Population,ARG,Female,1/1/2008,1M,1356904.08083409,
Under 5,Population,ITA,Male,1/1/2012,1M,,1448633.76177905
40 to 44,Population,NLD,Female,1/1/2013,1M,633708.466904304,
45 to 49,Population,VIR,Male,1/1/2008,0M,,3689.046200777
Under 5,Population,VEN,Male,1/1/2015,1M,,1454353.5250444
70 to 74,Population,URY,Male,1/1/2010,0M,,47804.137221644
80 plus,Population,COL,Male,1/1/2012,0M,,346043.540622176
40 to 44,Population,BOL,Female,1/1/2016,0M,316962.748829287,
30 to 34,Population,KWT,Male,1/1/2016,0M,,305652.566652815
35 to 39,Population,VNM,Male,1/1/2010,3M,,3443509.19890661
30 to 34,Population,YEM,Male,1/1/2009,1M,,834154.387387868
75 to 79,Population,GNB,Male,1/1/2009,0M,,2602.381010260
10 to 14,Population,TUR,Female,1/1/2009,3M,3171070.85877417,
25 to 29,Population,COD,Female,1/1/2016,3M,3014519.69752867,
30 to 34,Population,BRB,Male,1/1/2013,0M,,9591.869443678
50 to 54,Population,TZA,Female,1/1/2017,1M,758330.063994959,
25 to 29,Population,FSM,Male,1/1/2015,0M,,4153.204440320
30 to 34,Population,MDV,Male,1/1/2011,0M,,18208.579446817
75 to 79,Population,GMB,Female,1/1/2011,0M,6975.822073152,
40 to 44,Population,IRN,Female,1/1/2010,2M,2415669.67541447,
10 to 14,Population,LKA,Male,1/1/2010,1M,,844118.059963359
5 to 9,Population,COD,Female,1/1/2010,5M,4863162.8321086,
35 to 39,Population,SDN,Male,1/1/2009,1M,,893153.081629872
15 to 19,Population,HUN,Female,1/1/2008,0M,303377.094377179,
55 to 59,Population,MNP,Male,1/1/2014,0M,,1450.247060271
45 to 49,Population,VUT,Female,1/1/2013,0M,5457.337440448,
75 to 79,Population,TCD,Male,1/1/2010,0M,,35199.363072755
15 to 19,Population,MNG,Male,1/1/2014,0M,,122842.054070599
45 to 49,Population,ARE,Female,1/1/2011,0M,84666.972021924,
50 to 54,Population,GNB,Male,1/1/2013,0M,,19135.865637060
10 to 14,Population,LCA,Female,1/1/2010,0M,7672.254634367,
80 plus,Population,LAO,Male,1/1/2013,0M,,16947.261228607
20 to 24,Population,BGD,Female,1/1/2012,7M,7379798.28052914,
25 to 29,Population,GIN,Female,1/1/2015,0M,476349.321677013,
20 to 24,Population,UZB,Male,1/1/2012,2M,,1564485.72138444
70 to 74,Population,VIR,Female,1/1/2011,0M,2335.840518114,
25 to 29,Population,BLZ,Male,1/1/2012,0M,,14101.613272469
75 to 79,Population,DJI,Female,1/1/2015,0M,2413.257827668,
15 to 19,Population,VCT,Female,1/1/2014,0M,4778.027636496,
65 to 69,Population,GBR,Female,1/1/2015,4M,3689394.04992712,
10 to 14,Population,SDN,Male,1/1/2013,2M,,2336127.62374283
70 to 74,Population,DZA,Female,1/1/2009,0M,263275.13301183,
5 to 9,Population,NER,Male,1/1/2010,1M,,1466478.40127116
30 to 34,Population,ECU,Female,1/1/2011,1M,577062.23855574,
65 to 69,Population,KAZ,Female,1/1/2011,0M,172112.913749072,
10 to 14,Population,SUR,Female,1/1/2011,0M,25367.362679155,
65 to 69,Population,SVN,Female,1/1/2008,0M,53004.533502458,
35 to 39,Population,SLE,Female,1/1/2011,0M,186599.386850665,
35 to 39,Population,TON,Male,1/1/2009,0M,,3141.213285148
80 plus,Population,COM,Male,1/1/2015,0M,,2046.988345145
30 to 34,Population,ZAF,Female,1/1/2015,2M,2324000.58764151,
70 to 74,Population,ARE,Male,1/1/2008,0M,,5911.163959892
20 to 24,Population,KEN,Female,1/1/2010,2M,2062813.64490784,
25 to 29,Population,NER,Male,1/1/2016,1M,,634697.458781006
45 to 49,Population,COL,Male,1/1/2012,1M,,1358139.75135802
Under 5,Population,CIV,Male,1/1/2010,2M,,1851715.4328342
70 to 74,Population,MDA,Male,1/1/2011,0M,,49673.279745168
25 to 29,Population,MAR,Female,1/1/2013,1M,1487797.07513274,
Under 5,Population,ETH,Female,1/1/2009,7M,7356240.83089928,
55 to 59,Population,IND,Female,1/1/2017,25M,25155505.3676665,
20 to 24,Population,MHL,Female,1/1/2012,0M,2456.885317009,
5 to 9,Population,AFG,Male,1/1/2009,2M,,2199987.27552679
65 to 69,Population,CMR,Male,1/1/2011,0M,,123040.875574815
25 to 29,Population,SUR,Male,1/1/2008,0M,,21396.500858157
40 to 44,Population,MLT,Female,1/1/2008,0M,12745.097761034,
60 to 64,Population,DOM,Male,1/1/2016,0M,,155492.080721476
60 to 64,Population,HRV,Female,1/1/2017,0M,159775.657756748,
60 to 64,Population,EGY,Female,1/1/2015,1M,1125235.31934918,
70 to 74,Population,STP,Male,1/1/2012,0M,,818.555383861
5 to 9,Population,RWA,Female,1/1/2015,1M,816318.014586859,
5 to 9,Population,KGZ,Female,1/1/2011,0M,261653.64218775,
65 to 69,Population,GAB,Male,1/1/2014,0M,,10795.153816025
40 to 44,Population,MEX,Male,1/1/2010,4M,,3524622.37157915
45 to 49,Population,MDA,Female,1/1/2008,0M,164795.211731521,
80 plus,Population,ARE,Female,1/1/2011,0M,3642.504481409,
30 to 34,Population,ERI,Male,1/1/2013,0M,,191262.773485177
40 to 44,Population,GMB,Male,1/1/2008,0M,,32763.981474850
70 to 74,Population,AZE,Female,1/1/2008,0M,102535.165377483,
10 to 14,Population,PRY,Female,1/1/2015,0M,326060.412851878,
50 to 54,Population,GRD,Female,1/1/2008,0M,2967.823641884,
80 plus,Population,BLR,Female,1/1/2016,0M,262979.846528452,
20 to 24,Population,CAF,Female,1/1/2010,0M,219506.980384636,
60 to 64,Population,HND,Female,1/1/2015,0M,105209.045148038,
50 to 54,Population,SVN,Male,1/1/2011,0M,,78117.979589029
10 to 14,Population,PER,Male,1/1/2010,1M,,1408918.42850557
10 to 14,Population,FIN,Female,1/1/2017,0M,147572.523845269,
35 to 39,Population,TUR,Female,1/1/2013,3M,2871485.92142785,
80 plus,Population,MDA,Female,1/1/2008,0M,60789.199737300,
30 to 34,Population,WSM,Male,1/1/2009,0M,,6334.161540260
55 to 59,Population,AUT,Male,1/1/2012,0M,,261751.580238715
30 to 34,Population,GUM,Male,1/1/2014,0M,,5188.495848116
65 to 69,Population,MKD,Female,1/1/2015,0M,52906.405750873,
15 to 19,Population,SYC,Female,1/1/2017,0M,3386.041262905,
15 to 19,Population,WSM,Male,1/1/2013,0M,,10613.248976835
70 to 74,Population,ALB,Male,1/1/2015,0M,,45972.866383864
70 to 74,Population,BIH,Female,1/1/2016,0M,66939.169940160,
80 plus,Population,VUT,Female,1/1/2013,0M,565.625964576,
70 to 74,Population,EST,Male,1/1/2015,0M,,21004.735685414
75 to 79,Population,TTO,Female,1/1/2015,0M,13228.886239429,
80 plus,Population,VIR,Male,1/1/2008,0M,,675.399537428
60 to 64,Population,SWE,Female,1/1/2017,0M,282231.219487857,
10 to 14,Population,TON,Male,1/1/2013,0M,,6266.973336829
45 to 49,Population,BLR,Female,1/1/2016,0M,334235.393989317,
45 to 49,Population,AZE,Male,1/1/2011,0M,,332779.774024124
65 to 69,Population,GUY,Male,1/1/2010,0M,,6514.853199365
65 to 69,Population,TUN,Male,1/1/2008,0M,,122362.742952091
15 to 19,Population,RUS,Male,1/1/2013,4M,,3710040.10207617
30 to 34,Population,RUS,Male,1/1/2009,5M,,5478315.76004222
50 to 54,Population,TUN,Female,1/1/2011,0M,307905.118583989,
75 to 79,Population,MWI,Female,1/1/2015,0M,61606.267812426,
65 to 69,Population,GRD,Male,1/1/2011,0M,,1520.916176896
60 to 64,Population,ROU,Male,1/1/2012,1M,,598153.541249105
25 to 29,Population,MUS,Female,1/1/2015,0M,45001.973304976,
70 to 74,Population,ETH,Male,1/1/2016,0M,,404051.328823537
50 to 54,Population,GRC,Female,1/1/2015,0M,373107.319291013,
75 to 79,Population,GTM,Male,1/1/2017,0M,,78899.774300973
65 to 69,Population,PRI,Male,1/1/2011,0M,,84075.216217340
55 to 59,Population,IRQ,Female,1/1/2008,0M,363386.726229079,
10 to 14,Population,TGO,Female,1/1/2010,0M,357836.961514658,
45 to 49,Population,WSM,Female,1/1/2014,0M,4470.127722017,
Under 5,Population,PHL,Male,1/1/2013,6M,,6212376.90546699
50 to 54,Population,TLS,Female,1/1/2010,0M,14731.515349340,
80 plus,Population,KOR,Female,1/1/2016,1M,984425.434305074,
5 to 9,Population,SAU,Male,1/1/2016,1M,,1281848.57354137
5 to 9,Population,SGP,Female,1/1/2017,0M,144858.81148453,
25 to 29,Population,ARM,Male,1/1/2010,0M,,134221.873798261
20 to 24,Population,ISL,Male,1/1/2016,0M,,12836.487022019
45 to 49,Population,KOR,Female,1/1/2016,2M,2270019.99772584,
Under 5,Population,BMU,Female,1/1/2010,0M,1812.804853377,
10 to 14,Population,GAB,Female,1/1/2009,0M,87809.693049675,
40 to 44,Population,DMA,Female,1/1/2017,0M,1917.783960684,
55 to 59,Population,VEN,Female,1/1/2011,1M,583482.383790605,
80 plus,Population,MDG,Female,1/1/2012,0M,36932.768458729,
40 to 44,Population,CAN,Male,1/1/2011,1M,,1160675.18418017
